City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,taro,-8.3862,115.28,22.0,96,100,0.3,ID,1701280945
340,changzhi,35.2089,111.7386,-0.5,25,66,2.99,CN,1701280947
341,ephrata,40.1798,-76.1788,1.7,55,44,4.02,US,1701280800
342,daru,-9.0763,143.2092,26.34,85,92,3.08,PG,1701280948
343,hawera,-39.5917,174.2833,12.35,84,56,2.78,NZ,1701280948
344,yeniseysk,58.4497,92.1703,-13.36,71,100,2.24,RU,1701280949
345,kudahuvadhoo,2.6708,72.8944,27.88,75,13,0.99,MV,1701280949
346,guiuan,11.0333,125.7247,27.93,79,99,7.83,PH,1701280949
347,hami,42.8,93.45,-0.04,27,0,1.19,CN,1701280950
348,nouadhibou,20.931,-17.0347,23.99,35,1,3.09,MR,1701280950
349,mersa matruh,31.3525,27.2453,16.11,51,0,2.57,EG,1701280950
350,sanctuary point,-35.1114,150.629,17.08,89,49,3.0,AU,1701280951
351,ebaye,8.7748,167.7392,27.01,78,40,7.2,MH,1701280952
352,aasiaat,68.7098,-52.8699,-2.0,68,100,11.86,GL,1701280952
353,omdurman,15.6445,32.4777,31.4,25,39,6.2,SD,1701280953
354,kidal,18.4411,1.4078,28.61,14,2,3.52,ML,1701280840
355,utrik,11.2278,169.8474,27.44,65,100,9.81,MH,1701280733
356,kishangarh,26.5667,74.8667,19.81,55,85,1.13,IN,1701280955
357,ferkessedougou,9.6,-5.2,31.4,41,89,2.05,CI,1701280955
358,pagar alam,-4.0167,103.2667,21.21,98,97,0.64,ID,1701280956
359,namibe,-15.1961,12.1522,24.07,78,100,2.8,AO,1701280956
